Id,Rank,Year,Name,Count,Change1,Change1Year,Change2,Change2Year
1,1,2019,OLIVIA,"4,082",0,2018,0,2009
2,2,2019,AMELIA,"3,712",0,2018,7,2009
3,3,2019,ISLA,"2,981",1,2018,27,2009
4,4,2019,AVA,"2,946",-1,2018,8,2009
5,5,2019,MIA,"2,500",1,2018,6,2009
6,6,2019,ISABELLA,"2,398",1,2018,9,2009
7,7,2019,SOPHIA,"2,332",1,2018,28,2009
8,8,2019,GRACE,"2,330",2,2018,-1,2009
9,9,2019,LILY,"2,285",4,2018,-1,2009
10,10,2019,FREYA,"2,264",8,2018,11,2009
11,11,2019,EMILY,"2,262",-6,2018,-7,2009
12,12,2019,IVY,"2,158",2,2018,269,2009
13,13,2019,ELLA,"2,105",-4,2018,0,2009
14,14,2019,ROSIE,"2,036",12,2018,48,2009
15,15,2019,EVIE,"2,025",1,2018,-5,2009
15,15,2019,FLORENCE,"2,025",0,2018,65,2009
17,17,2019,POPPY,"2,022",-6,2018,5,2009
18,18,2019,CHARLOTTE,"2,015",-6,2018,-4,2009
19,19,2019,WILLOW,"1,995",1,2018,89,2009
20,20,2019,EVELYN,"1,761",-1,2018,65,2009
21,21,2019,ELSIE,"1,760",1,2018,103,2009
22,22,2019,PHOEBE,"1,753",-1,2018,1,2009
23,23,2019,SOPHIE,"1,727",-6,2018,-18,2009
24,24,2019,SIENNA,"1,713",-1,2018,25,2009
25,25,2019,ALICE,"1,695",-1,2018,25,2009
26,26,2019,SOFIA,"1,688",3,2018,48,2009
27,27,2019,RUBY,"1,656",5,2018,-25,2009
28,28,2019,ISABELLE,"1,598",2,2018,-11,2009
29,29,2019,HARPER,"1,586",-2,2018,1143,2009
30,30,2019,MATILDA,"1,563",1,2018,16,2009
31,31,2019,DAISY,"1,543",-3,2018,-13,2009
32,32,2019,EMILIA,"1,473",2,2018,58,2009
33,33,2019,JESSICA,"1,439",-8,2018,-27,2009
34,34,2019,MAYA,"1,375",3,2018,32,2009
35,35,2019,EVA,"1,276",-2,2018,3,2009
36,36,2019,LUNA,"1,213",7,2018,529,2009
37,37,2019,MILLIE,"1,208",3,2018,-11,2009
38,38,2019,ELIZA,"1,197",1,2018,81,2009
39,39,2019,CHLOE,"1,183",-3,2018,-36,2009
40,40,2019,MAISIE,"1,168",6,2018,-6,2009
41,41,2019,PENELOPE,"1,157",7,2018,287,2009
42,42,2019,ARIA,"1,156",0,2018,1207,2009
43,43,2019,ESME,"1,138",-5,2018,52,2009
44,44,2019,SCARLETT,"1,101",-9,2018,-19,2009
45,45,2019,IMOGEN,"1,075",-4,2018,-13,2009
46,46,2019,THEA,"1,052",13,2018,214,2009
47,47,2019,ADA,"1,028",18,2018,500,2009
48,48,2019,LAYLA,"1,025",-4,2018,0,2009
49,49,2019,HARRIET,"1,021",-4,2018,40,2009
50,50,2019,MILA,"1,017",-1,2018,497,2009
51,51,2019,VIOLET,990,2,2018,84,2009
52,52,2019,ELEANOR,971,-1,2018,4,2009
53,53,2019,BELLA,958,1,2018,112,2009
54,54,2019,ERIN,947,-4,2018,-21,2009
55,55,2019,ELIZABETH,933,-8,2018,-12,2009
56,56,2019,ROSE,923,-1,2018,38,2009
57,57,2019,MOLLY,911,1,2018,-17,2009
58,58,2019,HALLIE,910,21,2018,340,2009
59,59,2019,EMMA,900,-3,2018,-18,2009
60,60,2019,LOLA,899,-8,2018,-18,2009
61,61,2019,LUCY,882,0,2018,-45,2009
62,62,2019,BONNIE,878,19,2018,219,2009
63,63,2019,ELLIE,838,-3,2018,-36,2009
64,64,2019,NANCY,816,0,2018,93,2009
65,65,2019,ROBYN,807,7,2018,107,2009
66,66,2019,ZARA,805,2,2018,9,2009
67,67,2019,LOTTIE,793,-4,2018,100,2009
68,68,2019,HANNAH,786,-6,2018,-39,2009
69,69,2019,MARIA,785,-3,2018,24,2009
70,70,2019,AURORA,777,-1,2018,444,2009
71,71,2019,ARABELLA,775,17,2018,225,2009
72,72,2019,HOLLY,772,-16,2018,-53,2009
73,73,2019,JASMINE,752,2,2018,-36,2009
74,74,2019,GRACIE,718,-1,2018,-20,2009
75,75,2019,GEORGIA,698,-4,2018,-20,2009
76,76,2019,DELILAH,695,14,2018,358,2009
77,77,2019,DARCIE,693,1,2018,101,2009
78,78,2019,ORLA,687,8,2018,86,2009
79,79,2019,AMBER,676,-9,2018,-27,2009
80,80,2019,AMELIE,663,0,2018,-23,2009
81,81,2019,IRIS,658,1,2018,114,2009
82,82,2019,ANNA,642,3,2018,-18,2009
83,83,2019,ABIGAIL,634,-6,2018,-47,2009
84,84,2019,AYLA,631,11,2018,300,2009
84,84,2019,MARYAM,631,-2,2018,18,2009
86,86,2019,LILLY,625,-19,2018,-41,2009
87,87,2019,ANNABELLE,622,-11,2018,18,2009
88,88,2019,SARA,609,10,2018,11,2009
89,89,2019,EDITH,598,2,2018,164,2009
90,90,2019,BEATRICE,595,-6,2018,39,2009
91,91,2019,CLARA,586,-2,2018,148,2009
92,92,2019,SUMMER,578,-18,2018,-68,2009
93,93,2019,HEIDI,577,-7,2018,4,2009
94,94,2019,MARGOT,575,5,2018,786,2009
95,95,2019,MARTHA,552,-1,2018,-14,2009
96,96,2019,ZOE,551,0,2018,-13,2009
97,97,2019,LARA,540,13,2018,23,2009
98,98,2019,LYLA,531,-1,2018,90,2009
98,98,2019,MABEL,531,8,2018,373,2009
100,100,2019,FELICITY,519,0,2018,109,2009
